entry_id,event_id,event_name,event_subtype_custom,description,date_in_text,source_date,location,location_normalized,brief_context,information_source,information_source_type,confidence,classification_confidence,keywords,text_fragment,category,month,month_name
7,REV1848_HUN_MIL_AUS,Военные действия (Австрия против Венгрии),Успехи австрийских войск,"Автор, прочитав петербургские газеты, отмечает успехи австрийских войск в ходе подавления восстания в Венгрии.",,1849-01-07,Венгрия,Венгрия,"В декабре 1848 - январе 1849 гг. австрийская армия под командованием фельдмаршала Виндишгреца вела успешное наступление против венгерских революционных сил, заняв 5 января 1849 года столицу Венгрии Пешт.",петербургские газеты,"Официальные источники (газеты, манифесты)",High,High,"['австрийцы', 'Венгрия', 'газеты', 'военные действия', 'успехи']","Теперь читал петербургские газеты, иностранные происшествия. Везет австрийцам, славно управляются в Венгрии, да что еще из этого всего будет?",REV1848,1,January
7,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Поддержка действий Австрии в Венгрии,"Автор прямо выражает свое личное одобрение и поддержку действий Австрийской империи против венгерских повстанцев, используя оценочные суждения «Везет австрийцам, славно управляются».",,1849-01-07,Венгрия,Венгрия,"Официальная позиция Российской империи и консервативных кругов российского общества заключалась в поддержке монархических режимов Европы и осуждении революционных движений, в том числе венгерского.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['поддержка', 'одобрение', 'австрийцы', 'личное мнение', 'Венгрия']","Везет австрийцам, славно управляются в Венгрии...",AUTHOR_PERCEPTION,1,January
7,REV1848_EUR_CONTEXT_GEN,"Общие упоминания Весны народов, беспорядков на Западе",Восприятие событий как хаоса,"Автор обобщенно характеризует всю совокупность революционных событий в Европе («на Западе») как «ералаш ужаснейший», что отражает его восприятие происходящего как всеобщего хаоса и беспорядка.",,1849-01-07,Запад,Европа,"К началу 1849 года, несмотря на успехи контрреволюции в отдельных регионах, общая ситуация в Европе оставалась крайне нестабильной. Продолжались военные действия в Венгрии и Италии, а политическая борьба в Германии и Франции была далека от завершения.",петербургские газеты,"Официальные источники (газеты, манифесты)",High,High,"['Запад', 'Европа', 'ералаш', 'хаос', 'беспорядки']","Ералаш ужаснейший, кажется, еще и теперь на Западе.",REV1848,1,January
7,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Тревога о будущем Европы,"Автор выражает личную тревогу и неуверенность в будущем, размышляя о последствиях европейских событий. Его риторический вопрос «что еще из этого всего будет?» и оценка ситуации как «ералаш ужаснейший» свидетельствуют о беспокойстве и негативном прогнозе.",,1849-01-07,Запад,Европа,"Неопределенность исхода революций 1848-1849 гг. была характерной чертой восприятия событий современниками, так как исход многих конфликтов и политических преобразований был еще не ясен.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'тревога', 'будущее', 'ералаш', 'Запад']","да что еще из этого всего будет? Ералаш ужаснейший, кажется, еще и теперь на Западе.",AUTHOR_PERCEPTION,1,January
10,AUTHOR_PERCEPTION_OPINION_BIAS,"Личные предубеждения/симпатии/антипатии автора (к нациям, группам, идеологиям)",Выражение антипольских настроений,"Автор выражает сильное личное негодование и враждебность по отношению к полякам, которых он называет ""безмозглыми полячишками"" и ""шельмами"". Он обвиняет их в проявлении ""гордости и вражды"" и в насаждении своих культурных порядков в русском дворянском обществе Вологды. Это восприятие отражает обострение антипольских настроений в России в контексте революций 1848-49 гг., где поляки активно участвовали в антимонархических движениях.",,1849-01-10,Вологда,"Вологда, Россия","В период революций 1848-49 гг. поляки принимали активное участие в восстаниях в разных частях Европы (Венгрия, Германия, Италия), что усиливало в Российской империи образ поляка как ""революционера"" и врага существующего порядка.",Личные наблюдения и размышления автора,Личные наблюдения и опыт автора,High,High,"['поляки', 'вражда', 'антипольские настроения', 'Мацкевич', 'национализм']","Удивительно, как русские дворяне еще древних фамилий позволяют себя так дурачить, потому что это устраивает, кажется, Мацкевич. Ну просто дураки! Он небось своего одноземца, сына Ромера, не нарядит в национальный костюм русского боярина да приискивает и партию, где будут все в польских костюмах. Экая, подумаешь, гордость и вражда в безмозглых полячишках...",AUTHOR_PERCEPTION,1,January
10,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Опасения по поводу французского влияния,"Автор осуждает увлечение французской культурой (""французолюбие"") и проводит прямую параллель с настроениями в обществе перед вторжением Наполеона в 1812 году. Он выражает опасение, что французы могут снова оказать пагубное влияние на Россию. В контексте 1849 года, после революции во Франции, это опасение относится к угрозе распространения революционных идей.",,1849-01-10,Вологда,"Вологда, Россия","Февральская революция 1848 года во Франции, свергнувшая монархию, послужила катализатором для ""Весны народов"" по всей Европе. Это вызвало в правительственных и консервативных кругах России резкое усиление антифранцузских и антизападных настроений.",Личные наблюдения и размышления автора,Личные наблюдения и опыт автора,High,High,"['французы', 'французолюбие', '1812 год', 'западное влияние', 'опасения']","Какое французолюбие, как точно перед 12-м годом! Не дай Бог, чтобы французы снова поучили русских любить свою наружную национальность.",AUTHOR_PERCEPTION,1,January
10,RU_REACTION_SOCIAL_ANTI_FOREIGN,"Антииноземные/ксенофобские настроения в обществе (общие упоминания, в т.ч. антипольские, антифранцузские, антизападные)",Осуждение преклонения перед иностранным,"Автор сообщает о факте, что поляки пользуются большим почетом и влиянием в высших кругах вологодского общества. Он описывает это как общественное явление, которое его лично возмущает. Это наблюдение отражает наличие сильного иностранного (польского) культурного влияния в провинциальном дворянском обществе, что шло вразрез с официальной политикой борьбы с ""западным влиянием"" в период после 1848 года.",,1849-01-10,Вологда,"Вологда, Россия","Несмотря на официальную антизападную риторику, французская и польская культуры сохраняли значительную популярность и престиж в среде российского провинциального дворянства в середине XIX века.",Личные наблюдения автора,Личные наблюдения и опыт автора,High,High,"['иноземщина', 'дворянство', 'польское влияние', 'вологодское общество', 'иностранное']","И вот это скверно: зачем внушать и одевать взрослых мальчиков, будущее поколение дворян, любить не свое родное, а иноземщину? Верно, вот никто не будет в своем русском костюме сельской девушкой и русским удалым молодцом, а все виноваты поляки в этом, вошли, шельмы, в лучшие круги вологодского общества да и командуют так, распоряжаются. Очень их, право, честят и жалуют здесь.",RU_REACTION,1,January
38,AUTHOR_PERCEPTION_IMPACT_SELF,Прямое влияние событий на жизнь/планы автора,Сомнения в получении чина после гимназии,"Автор размышляет о своем будущем и выражает сильное сомнение в том, что по окончании гимназии ему будет присвоен гражданский чин. Формулировка 'Сомнительно теперь очень еще' указывает на то, что эта неуверенность связана с текущей политической обстановкой, а именно с ужесточением государственной политики в эпоху европейских революций, что напрямую влияло на карьерные ожидания и планы дворянской молодежи.",,1849-02-07,Вологда,"Вологда, Россия","В период 'Мрачного семилетия' (1848-1855) правительство Николая I ужесточило контроль над системой образования и госслужбы, что сделало получение чинов выпускниками учебных заведений менее автоматическим и более зависимым от их политической благонадежности.",Личные размышления автора,Личные наблюдения и опыт автора,Medium,High,"['чин', 'гимназия', 'сомнительно', 'будущее', 'карьера']","А только как кончу, дадут ли мне чин? Сомнительно теперь очень еще, а хорошо бы очень, если б дали — это последнее вознаграждение, так сказать, за потерянное время.",AUTHOR_PERCEPTION,2,February
38,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Усиление дисциплины в гимназии,"Автор сообщает о назначении нового гувернера с прямым указанием от директора 'быть с нами построже'. Это событие является конкретным примером усиления дисциплинарного контроля в учебных заведениях, что было характерной чертой внутренней политики российского правительства в ответ на революционные события 1848-1849 гг. в Европе.",сегодня (относительно 1849-02-07),1849-02-07,Вологодская губернская гимназия,"Вологда, Россия","После 1848 года Министерство народного просвещения издало ряд циркуляров, предписывающих усилить надзор за поведением и образом мыслей учащихся с целью искоренения 'вольнодумства' и 'духа неповиновения'.",Директор гимназии,Информация от конкретного лица (именованный источник),High,High,"['гувернер', 'построже', 'директор', 'гимназия', 'дисциплина']","Сегодня директор приводил, рекомендовал нам нового гувернера Решетова на место Зарлянда, на первый раз да нас и не похвалил, велел быть с нами построже. «Прошлогодний курс, — говорит, — вел себя прекрасно, за то и Бог им дал — все хорошо кончили».",RU_REACTION,2,February
43,RU_REACTION_INTERNAL_EXILE,Ссылка / Каторга по политическим мотивам,Упоминание ссыльного в Вологде,"Автор дневника упоминает о пикнике, устроенном в квартире 'ссыльного недавно какого-то богача Жеребцова'. Это является прямым свидетельством практики политической ссылки в провинциальные города, которая была ключевым элементом реакции правительства Николая I на революционные события 1848-1849 гг. в Европе.",,1849-02-12,квартире ссыльного... Жеребцова,"Вологда, Россия","После революций 1848 года в Европе правительство Николая I усилило репрессии внутри России. Ссылка в отдаленные губернии, такие как Вологодская, была распространенной мерой наказания для лиц, подозреваемых в политической неблагонадежности.",Личные наблюдения автора,Личные наблюдения и опыт автора,High,High,"['ссыльный', 'Жеребцов', 'Вологда', 'репрессии', 'политическая ссылка']","Невзначай чуть, было, не попали на пикник, который собрался в квартире ссыльного недавно какого-то богача Жеребцова, в нем приняла участие вся вологодская аристократия.",RU_REACTION,2,February
